id,sample,label
30,czy roszczenia o zwrot nak³adów za wykonane prace remontowobudowlane wykonane w okresie  przedawniaj¹ siê z okresem  czy  lat co to jest przedawnienie okresowe letnie i kiedy siê stosuje czy prace remontowobudowlane wykonane w okresie  przedawnione przez okres  lat wp³ywaj¹ na wartoœæ nieruchomoœci na dzieñ dzisiejszy gdy bêdzie ona szacowana przez rzeczoznawcê maj¹tkowego jeœli brat ojca nie posiada rachunków z wykonanych prac remontowobudowlanych w okresie  to na jakiej zasadzie rzeczoznawca maj¹tkowy bêdzie szacowa³ ich wartoœæ oraz koszty robocizny zwi¹zane z wykonaniem owych prac remontowobudowlanych jeœli brat ojca nie posiada rachunków z wykonanych prac remontowobudowlanych w latach  to na jakiej podstawie bêdzie szacowana ich wartoœæ jak rzeczoznawca maj¹tkowy oszacuje wartoœæ stodo³y i obory która zosta³a rozebrana pod koniec lat  przez brata ojca jak rzeczoznawca oszacuje wartoœæ ci¹gnika ursus wozu konnego konia i maszyn rolniczych które zosta³y po œmierci rodziców a brat ojca micha³ sprzeda³ wszystko pod koniec lat,prawo cywilne
31,czy na roboty budowlane brat ojca musia³ mieæ pozwolenie od ojca wspó³w³aœciciela czy na wykonane roboty budowlane w latach  brat ojca musia³ mieæ pozwolenie od inspektora nadzoru budowlanego oraz od architektury na podstawie obowi¹zuj¹cego w tamtym okresie prawa budowlanego art  w którym roku nast¹pi³a nowelizacja prawa budowlanego art  jaki jest okres przedawnienia dotycz¹cy ww robót budowlanych jakie konsekwencje prawne czekaj¹ brata ojca jeœli wymagana by³a zgoda ojca na wykonane roboty budowlane w latach  a on takiej zgody nie uzyska³,prawo administracyjne
32,czy istnieje kredyt dla osób otwieraj¹cych nowy salon kosmetyczny który jest czêœciowo pomniejszany gdy salon prosperuje dalej czy istnieje pomoc unijna na otwarcie salonu kosmetycznego,prawo administracyjne
33,czy ojciec klienta jako wspó³w³aœciciel nieruchomoœci mo¿e wyst¹piæ do s¹du z wnioskiem o za³o¿enie ksiêgi wieczystej je¿eli odpowiedŸ na pytanie pierwsze jest pozytywna to czy ksiêga wieczysta bêdzie dotyczyæ jedynie  czêœci czy ca³ej nieruchomoœci jakie korzyœci przyniesie za³o¿enie ksiêgi wieczystej czy w chwili obecnej mo¿liwe jest za³o¿enie ksiêgi wieczystej gdy ¿adna z dzia³ek nie jest przydzielona danej osobie,prawo cywilne
34,jak przedstawia siê kwestia zwrotu utraconego dochodu lub zarobku,prawo cywilne
35,czy zabroniona jest realizacja recepty na leki psychotropowe z grupy ivp z dat¹ realizacji ró¿n¹ od daty wystawienia,prawo farmaceutyczne
36,czy klientowi nale¿y siê dodatek do wynagrodzenia w zwi¹zku z podejrzeniem wyst¹pienia choroby zawodowej,prawo pracy
37,czy lekarz sta¿ysta z dziedziny psychiatrii jest uprawniony do wychodzenia z pacjentami na spacery poza teren szpitala,prawo medyczne
38,czy w nieruchomoœci przeznaczonej na cele mieszkaniowe mo¿na rozpocz¹æ prowadzenie dzia³alnoœci gospodarczej czy w takim przypadku wskazan¹ nieruchomoœæ nale¿a³oby podzieliæ na dwie czêœci  czêœæ przeznaczon¹ do celów mieszkaniowych oraz czêœæ przeznaczon¹ do wykonywania w niej dzia³alnoœci gospodarczej czy klient bêdzie móg³ rozpocz¹æ prace adaptacyjne czêœci piwnicznej domu jedynie w przypadku gdy bêdzie jego jedynym w³aœcicielem,prawo administracyjne
39,czy przewodnicz¹cy zarz¹du regionu ogólnopolskiego zwi¹zku zawodowego lekarzy mo¿e upowa¿niæ do uczestniczenia w posiedzeniu zarz¹du krajowego cz³onka zarz¹du regionu który to cz³onek jednoczeœnie pe³ni funkcjê w krajowej komisji rewizyjnej,prawo pracy
40,w jaki sposób klient mo¿e unikn¹æ dziedziczenia d³ugów zmar³ego dziadka,prawo cywilne
41,czy lekarz mo¿e zostaæ zatrudniony w szpitalu na podstawie umowy o pracê na okres próbny je¿eli by³a wczeœniej w tym miejscu zatrudniona jako rezydent do koñca  roku,prawo pracy
42,w jaki sposób klientka mo¿e wyegzekwowaæ zaleg³e wynagrodzenie od pracodawcy czy klientka mo¿e rozwi¹zaæ umowê o pracê bez okresu wypowiedzenia z winy pracodawcy w zwi¹zku z brakiem zap³aty zaleg³ego wynagrodzenia,prawo pracy
43,czy spó³dzielnia mieszkaniowa powinna wysy³aæ korespondencjê równie¿ na adres mieszkania zajmowanego przez mê¿a pani której przys³uguje spó³dzielcze w³asnoœciowe prawo do tego lokalu mieszkalnego je¿eli odpowiedŸ na pierwsze pytanie jest przecz¹ca to sk¹d osoby pe³noletnie zamieszkuj¹ce w lokalu ale niebêd¹ce w³aœcicielami maj¹ wiedzieæ w jakiej wysokoœci wnosiæ op³aty do spó³dzielni,prawo cywilne
44,czy wspólnota mieszkaniowa mo¿e byæ po³o¿ona na dwóch odrêbnych gruntach,prawo cywilne
45,czy wentylacja jest czêœci¹ wspóln¹ nieruchomoœci,prawo administracyjne
46,co nale¿y zrobiæ aby móc sprzedaæ gara¿ wchodz¹cy w sk³ad spadku,prawo cywilne
47,czy brat bêdzie móg³ wysuwaæ jakiekolwiek roszczenia w stosunku do nieruchomoœci któr¹ córka otrzyma³a od rodziców w drodze darowizny,prawo cywilne
48,jak wygl¹da instytucja zachowku,prawo cywilne
49,czy farmaceuta mo¿e pracowaæ na oddziale w szpitalu,prawo medyczne
50,czy pracodawca mo¿e ukaraæ pracownika dwukrotnie za to samo przewinienie,prawo pracy
51,w jaki sposób nale¿y sporz¹dziæ testament,prawo cywilne
52,w jakich sytuacjach lekarz ma prawo odmowy przyjêcia pacjenta czy lekarz ma prawo odmówiæ wystawienia zwolnienia lekarskiego,prawo medyczne
53,czy mo¿na byæ kierownikiem dzia³u farmacji i kierownikiem apteki w dwóch ró¿nych miejscach,prawo farmaceutyczne
54,czy dopuszczalne jest aby pacjent zrealizowa³ drug¹ czêœæ recepty na  dni kilka dni po tym jak zrealizowa³ ju¿ pierwsz¹ jej czêœæ na  dni,prawo farmaceutyczne
55,czy osoba mo¿e wykazaæ ¿e jest osob¹ bezrobotn¹ pomimo ¿e prowadzi w³asn¹ dzia³alnoœæ gospodarcz¹,prawo pracy
56,co klientka winna zrobiæ w przedstawionych okolicznoœciach,prawo medyczne
57,czy osoba która prowadzi³a w³asn¹ dzia³alnoœæ gospodarcz¹ nieprzerwanie przez okres  miesiêcy mo¿e byæ traktowana jako osoba bezrobotna czy zakoñczenie prowadzenia dzia³alnoœci gospodarczej przez osobê o której mowa powy¿ej umo¿liwi jej uzyskanie statusu bezrobotnej czy okolicznoœæ przyjmowania leków przeciwdepresyjnych ma znaczenie w kontekœcie uzyskania statusu osoby bezrobotnej,prawo pracy
58,co mo¿e zrobiæ klient aby móc uiszczaæ alimenty w kwocie przewidzianej nowym wyrokiem,prawo cywilne
59,jak przedstawia siê kwestia obowi¹zku zachowania tajemnicy lekarskiej przez lekarza wezwanego na przes³uchanie w charakterze œwiadka w postêpowaniu cywilnym,prawo medyczne
60,czy klientka musi stawiæ siê na rozprawie w charakterze œwiadka,prawo cywilne
61,czy klientowi przys³uguje zachowek,prawo cywilne
62,w jaki sposób klient mo¿e og³osiæ rozpoczêcie dzia³alnoœci gospodarczej nie naruszaj¹c obowi¹zuj¹cego lekarzy zakazu reklamy,prawo karne
63,czy lekarz zatrudniony na podstawie umowy o pracê w szpitalu któremu pracodawca udzieli³ urlopu bezp³atnego posiada mo¿liwoœæ zawarcia umowy cywilnoprawnej o œwiadczenie us³ug z tym samym szpitalem celem œwiadczenia us³ug to¿samych z tymi które œwiadczy³ on na podstawie umowy o pracê,prawo pracy
64,kto mo¿e podpisaæ w imieniu spó³ki z oo umowê z cz³onkiem zarz¹du czy podpisanie umowy z cz³onkiem zarz¹du powinno byæ poprzedzone podjêciem uchwa³y wspólników czy wynagrodzenie otrzymywane przez cz³onka zarz¹du z tytu³u stosunku powo³ania i z tytu³u umowy o pracê mo¿e byæ rozliczane razem,prawo pracy
65,co nale¿a³oby zrobiæ w przedstawionych okolicznoœciach,prawo medyczne
66,czy okres sta¿u podyplomowego wlicza siê do sta¿u pracy na podstawie którego oblicza siê termin wypowiedzenia umowy o pracê jaki okres wypowiedzenia przys³uguje klientowi,prawo pracy
67,jakie dzia³ania mo¿na podj¹æ w celu wymuszenia na w³aœcicielu lub najemcach lokalu przestrzegania zasad wspó³¿ycia spo³ecznego,prawo cywilne
68,czy ¿ona klienta mo¿e pracowaæ w wymiarze  godzin dziennie ze zmniejszon¹ norm¹ tygodniow¹,prawo pracy
69,czy zawarcie umowy cywilnoprawnej z pracodawc¹ dotycz¹cej tego samego zakresu zadañ co umowa o pracê przez osobê przebywaj¹c¹ na urlopie macierzyñskim jest zgodne z prawem,prawo pracy
70,na jaki okres telefon bêd¹cy dowodem rzeczowym w postêpowaniu karnym mo¿e zostaæ zatrzymany,prawo karne
71,czy istnieje mo¿liwoœæ skutecznego skrócenia okresu wypowiedzenia umowy o pracê jednostronnie przez klientkê z trzech do jednego miesi¹ca,prawo pracy
72,czy klientce pracuj¹cej w równowa¿nym systemie czasu pracy przys³uguje dodatek za pracê w weekendy,prawo pracy
73,jak przebiega procedura przekszta³cenia lokalu mieszkalnego na lokal u¿ytkowy,prawo administracyjne
74,czy mo¿na przekazaæ dokumentacjê medyczn¹ innemu podmiotowi w przypadku cesji kontraktu nfz,prawo medyczne
75,gdzie klient móg³by zg³osiæ dzia³ania pracodawcy,prawo pracy
76,czy klient mo¿e samodzielnie opisywaæ i zatwierdzaæ badania rentgenowskie oraz badania tomografii komputerowej bez nadzoru lekarza specjalisty,prawo medyczne
77,czy mo¿liwa jest sprzeda¿ punktu aptecznego prowadzonego w formie jednoosobowej dzia³alnoœci gospodarczej wraz przeniesieniem zezwolenia na prowadzenie punktu aptecznego,prawo farmaceutyczne
78,czy klientce przys³uguje ochrona przez zwolnieniem zgodnie ze stanem faktycznym,prawo pracy
79,czy farmaceuta zatrudniony w aptece szpitalnej mo¿e badaæ procedury dotycz¹ce podawania leków pacjentom na oddziale,prawo farmaceutyczne
80,czy apteka mo¿e sprzedaæ leki o kategorii otc firmom prowadz¹cym dzia³alnoœæ handlowous³ugowym,prawo farmaceutyczne
81,czy rada nadzorcza mo¿e z³o¿yæ zawiadomienie o pope³nieniu przestêpstwa czy w powy¿szej kwestii potrzebna jest uchwa³a walnego zgromadzenia w jaki sposób spó³dzielnia mo¿e odzyskaæ pieni¹dze które zosta³y przeznaczone na kary na³o¿one na prezesa i wiceprezesa,prawo karne
82,czy córka kuzynki klientki mia³a obowi¹zek wskazaæ innych cz³onków rodziny notariuszowi,prawo cywilne
83,czy mo¿liwy jest rozwód w drodze ugody jak w przedstawionych okolicznoœciach doprowadziæ do rozwodu,prawo cywilne
84,czy ¿ona klienta mo¿e zrezygnowaæ z prawa u¿ytkowania wieczystego drogi dojazdowej do gara¿u,prawo cywilne
85,co w œwietle wyroku trybuna³u sprawiedliwoœci mo¿e uczyniæ klient,inne
86,ile rycza³tu mo¿na wzi¹æ na leki recepturowe,prawo farmaceutyczne
87,kto mo¿e z³o¿yæ zawiadomienie o mo¿liwoœci pope³nienia przestêpstwa maj¹c na uwadze i¿ przestêpstwo te mog³o zostaæ pope³nione przez zarz¹d spó³dzielni,prawo karne
88,czy apteka mo¿e sprzedaæ leki o kategorii otc podmiotom prowadz¹cym dzia³alnoœæ handlowous³ugowym,prawo farmaceutyczne
89,czy je¿eli nabywc¹ leku jest stowarzyszenie apteka jest zobowi¹zana zamieœciæ na paragonie numer nip,prawo podatkowe
90,czy klient mo¿e udostêpniæ historiê kont bankowych wspólnoty mieszkaniowej,prawo administracyjne
91,czy na zebraniu wspólnoty mieszkaniowej mo¿na omawiaæ kwestie zad³u¿enia poszczególnych cz³onków wspólnoty mieszkaniowej pos³uguj¹c siê imieniem oraz nazwiskiem osoby zad³u¿onej,prawo cywilne
92,czy pielêgniarka mo¿e rozpuœciæ lek na oddziale np rozpuœciæ substancje we fiolce za pomoc¹ wody do wstrzykiwañ lub soli fizjologicznej i dodawaæ do worka do podania we wlewie do¿ylnym czy pielêgniarka mo¿e wykonywaæ powy¿sze czynnoœci równie¿ wobec leków cytostatycznych,prawo farmaceutyczne
93,czy apteka mo¿e wystawiæ fakturê za zrealizowane recepty na pacjenta oraz leki dostêpne bez recepty gdzie nabywc¹ jest sam pacjent ale p³atnikiem dom opieki spo³ecznej albo fundacja,prawo podatkowe
94,czy s¹d mo¿e zwolniæ klientkê z tajemnicy lekarskiej czy osoba ubezw³asnowolniona mo¿e nie wyraziæ zgody na umieszczenie jej w domu pomocy spo³ecznej lub zak³adzie pielêgnacyjnoopiekuñczym,prawo medyczne
95,czy dysponent zak³adowego funduszu œwiadczeñ socjalnych mo¿e dofinansowaæ wszystkie imprezy pomimo sprzeciwu jednej z organizacji,prawo pracy
96,czy farmaceuta z apteki szpitalnej mo¿e zostaæ oddelegowany na oddzia³ szpitalny w celu przygotowywania leków w dawkach dziennych w tym cytostatycznych,prawo farmaceutyczne
97,czy mo¿liwa jest zmiana przez pracodawcê wyznaczonego harmonogramugrafiku pracy,prawo pracy
98,w jaki sposób klientka powinna udokumentowaæ sprzeda¿ zwolnion¹ z vat,prawo podatkowe
99,jak kszta³tuje siê odpowiedzialnoœæ lekarza zatrudnionego w podmiocie leczniczym na podstawie umowy cywilnoprawnej wobec pacjenta,prawo medyczne
100,czy szczególnie chronionemu cz³onkowi zarz¹du terenowej organizacji zwi¹zkowej mo¿na obni¿yæ wynagrodzenie w zwi¹zku z likwidacj¹ miejsca pracy i przeniesieniem pracownika,prawo pracy
101,czy pracodawca mo¿e zwolniæ pracownika pobieraj¹cego œwiadczenie rehabilitacyjne w przypadku gdy znajduje siê on w okresie ochrony przedemerytalnej,prawo pracy
102,czy mo¿liwe jest nabycie apteki bez zobowi¹zañ czy mo¿liwe jest nabycie leków od innej apteki,prawo farmaceutyczne
103,co w przedmiotowej sprawie mo¿e zrobiæ klientka,prawo karne
104,czy w przedstawionych okolicznoœciach pracodawca mo¿e zmusiæ klienta do rozwi¹zania stosunku pracy,prawo pracy
105,czy rozwi¹zanie przedstawione przez pracodawcê jest zgodne z obecnie obowi¹zuj¹cym porz¹dkiem prawnym,prawo pracy
106,czy lekarz wykonuj¹cy indywidualn¹ praktykê lekarsk¹ mo¿e zatrudniæ lekarza rezydenta prowadziæ szkolenie specjalizacyjne czy lekarz prowadz¹cy indywidualn¹ praktykê lekarsk¹ mo¿e zatrudniæ pielêgniarkê,prawo medyczne
107,czy klientka wezwana w charakterze œwiadka jako lekarz jest zwolniona z tajemnicy lekarskiej,inne
108,czy mo¿liwa jest sprzeda¿ apteki prowadzonej w formie jednoosobowej dzia³alnoœci gospodarczej wraz przeniesieniem zezwolenia na prowadzenie apteki,prawo farmaceutyczne
109,czy je¿eli lekarz na recepcie wpisze mniejsz¹ dawkê leku ni¿ zawiera ca³e opakowanie to czy mo¿liwe jest wydanie ca³ego opakowania,prawo farmaceutyczne
110,je¿eli do konsultacji pacjentki niepe³noletniej która ukoñczy³a  lat potrzebna jest zgoda opiekuna prawnego co grozi lekarzowi ilub podmiotowi leczniczemu gdy udzieli konsultacji mimo jej braku czy pacjentka niepe³noletnia która ukoñczy³a  lat ma prawo samodzielnie decydowaæ czy wyra¿a zgodê by inna osoba by³a obecna podczas wizyty badania czy pacjentka niepe³noletnia która ukoñczy³a  lat ma prawo skutecznie uniemo¿liwiæ obecnoœæ przedstawiciela ustawowego w czasie wizyty czy mo¿e odmówiæ udzielenia przez lekarza informacji o stanie zdrowia pacjentki jej przedstawicielom ustawowym czy przedstawiciel ustawowy pacjentki niepe³noletniej która ukoñczy³a  lat mo¿e ¿¹daæ uczestnictwa przy konsultacji ginekologicznej czy podmiot leczniczy kontaktuj¹c siê z przedstawicielem ustawowym niepe³noletniej pacjentki która ukoñczy³a  lat w celu poinformowania o zg³oszeniu siê przez pacjentkê do lekarza narusza tajemnicê lekarsk¹ b¹dŸ wynikaj¹c¹ z przepisów o ochronie danych osobowych jakie konsekwencje mo¿e wówczas ponieœæ podmiot leczniczy,prawo administracyjne
111,czy klient mo¿e odmówiæ przyjêcia pacjenta z uwagi na to ¿e jest on roszczeniowy i nie mo¿na z nim dojœæ do porozumienia,prawo medyczne
112,co mo¿e zrobiæ klient aby móg³ posiadaæ dojazd do w³asnej dzia³ki,prawo cywilne
113,czy lekarz prowadz¹cy indywidualn¹ praktykê lekarsk¹ mo¿e zatrudniæ w niej innego lekarza,prawo medyczne
114,czy obecnie obowi¹zuj¹cy porz¹dek prawny przewiduje górn¹ granicê nale¿noœci z tytu³u zwrotu kosztów podró¿y do s¹du,prawo karne
115,czy komornik zaj¹³ odpowiedni¹ kwotê pieniêdzy,prawo cywilne
116,czy pracodawca mo¿e ograniczyæ prawo do urlopu szkoleniowego,prawo pracy
117,czy po podjêciu uchwa³y wspólnota mieszkaniowa bêdzie mog³a skorygowaæ zaliczki na poczet kosztów zarz¹du nieruchomoœci¹ wspóln¹ od stycznia  roku pocz¹tek roku obrachunkowego,prawo cywilne
118,czy klient powinien na ¿¹danie pacjenta przypisaæ mu lek je¿eli zdaniem klienta lek tendawka tego leku zagra¿a ¿yciu i zdrowiu pacjenta,prawo medyczne
119,jakie œrodki prawne przys³uguj¹ klientowi je¿eli w trakcie egzekucji komorniczej oka¿e siê ¿e d³u¿nik nie posiada maj¹tku jakie œrodki prawne przys³uguj¹ klientowi je¿eli w trakcie egzekucji komorniczej oka¿e siê ¿e d³u¿nik wyjecha³ poza granice kraju,prawo karne
120,jak¹ podstawê prawn¹ zezwalaj¹c¹ fizjoterapeucie na wykonywanie zabiegu suchego ig³owania w szpitalu klient powinien wskazaæ pracodawcy,prawo medyczne
121,czy mo¿liwym jest jednostronne skrócenie czasu wypowiedzenia umowy o pracê zawartej na czas nieokreœlony,prawo pracy
122,czy w przedmiotowej sytuacji dosz³o do wypadku przy pracy,prawo pracy
123,czy zarz¹d du¿ej wspólnoty mieszkaniowej mo¿e ¿¹daæ udostêpnienia informacji o osobach które pobieraj¹ dodatek mieszkaniowy z miejskiego oœrodka pomocy spo³ecznej,prawo administracyjne
124,czy klientka powinna posiadaæ kasê fiskaln¹ i samodzielnie rozliczaæ pacjentów,prawo podatkowe
125,czy dodatki do wynagrodzenia mog¹ wliczaæ siê do minimalnego wynagrodzenia pracowników,prawo pracy
126,jakie dzia³ania mo¿e podj¹æ klientka zgodnie ze stanem faktycznym,prawo pracy
127,jakie s¹ limity pracy w godzinach nadliczbowych w podstawowym systemie czasu pracy,prawo pracy
128,co mo¿na zrobiæ w przedstawionych okolicznoœciach,prawo administracyjne
129,w jaki sposób pracodawca mo¿e wyegzekwowaæ zwrot pobranej zaliczki,prawo pracy
130,co nale¿y zrobiæ w przedstawionych okolicznoœciach,prawo medyczne
131,co klientka mo¿e zrobiæ w sprawie zgodnie ze stanem faktycznym,prawo karne
132,jakie korzyœci uzyskuje i posiada pracodawca z tytu³u zatrudnienia osoby o umiarkowanym stopniu niepe³nosprawnoœci czy stron¹ umowy o pracê jest spó³ka cywilna nova med nazwiska wspólników czy przychodnia lekarska nova med,prawo pracy
133,czy klient mo¿e wytoczyæ proces ¿¹daj¹cej zachowku córce babci o uporczywe zaniedbanie obowi¹zków rodzinnych,prawo cywilne
134,co mo¿na zrobiæ aby komentarz znikn¹³ z profilu klienta,prawo karne
135,czy w przypadku przekazania córce w formie darowizny udzia³u w nieruchomoœci udzia³ ten wchodzi³ bêdzie w sk³ad masy spadkowej po rodzicu,prawo cywilne
136,jakie kroki prawne mo¿e podj¹æ klientka,prawo karne
137,czy mo¿liwy jest ca³kowity zwrot kosztów z powodu odst¹pienia od umowy,prawo administracyjne
138,czy w razie skazania za czyn z art  kodeksu karnego klient mo¿e utraciæ prawo wykonywania zawodu lekarza,prawo karne
